,userId,movieId,rating,timestamp,userIdnew,movieIdnew
0,1,31,2.5,1260759144,1,31
1,1,1029,3.0,1260759179,1,834
2,1,1061,3.0,1260759182,1,860
3,1,1129,2.0,1260759185,1,907
4,1,1172,4.0,1260759205,1,932
5,1,1263,2.0,1260759151,1,1018
6,1,1287,2.0,1260759187,1,1042
7,1,1293,2.0,1260759148,1,1048
8,1,1339,3.5,1260759125,1,1084
9,1,1343,2.0,1260759131,1,1088
10,1,1371,2.5,1260759135,1,1112
11,1,1405,1.0,1260759203,1,1141
12,1,1953,4.0,1260759191,1,1516
13,1,2105,4.0,1260759139,1,1666
14,1,2150,3.0,1260759194,1,1709
15,1,2193,2.0,1260759198,1,1744
16,1,2294,2.0,1260759108,1,1816
17,1,2455,2.5,1260759113,1,1963
18,1,2968,1.0,1260759200,1,2381
19,1,3671,3.0,1260759117,1,2926
20,2,10,4.0,835355493,2,10
21,2,17,5.0,835355681,2,17
22,2,39,5.0,835355604,2,38
23,2,47,4.0,835355552,2,46
24,2,50,4.0,835355586,2,49
25,2,52,3.0,835356031,2,50
26,2,62,3.0,835355749,2,59
27,2,110,4.0,835355532,2,101
28,2,144,3.0,835356016,2,124
29,2,150,5.0,835355395,2,130
30,2,153,4.0,835355441,2,133
31,2,161,3.0,835355493,2,141
32,2,165,3.0,835355441,2,145
33,2,168,3.0,835355710,2,148
34,2,185,3.0,835355511,2,164
35,2,186,3.0,835355664,2,165
36,2,208,3.0,835355511,2,185
37,2,222,5.0,835355840,2,196
38,2,223,1.0,835355749,2,197
39,2,225,3.0,835355552,2,199
40,2,235,3.0,835355664,2,208
41,2,248,3.0,835355896,2,221
42,2,253,4.0,835355511,2,226
43,2,261,4.0,835355681,2,234
44,2,265,5.0,835355697,2,238
45,2,266,5.0,835355586,2,239
46,2,272,3.0,835355767,2,245
47,2,273,4.0,835355779,2,246
48,2,292,3.0,835355492,2,263
49,2,296,4.0,835355395,2,267
50,2,300,3.0,835355532,2,269
51,2,314,4.0,835356044,2,281
52,2,317,2.0,835355551,2,284
53,2,319,1.0,835355918,2,286
54,2,339,3.0,835355492,2,305
55,2,349,4.0,835355441,2,315
56,2,350,4.0,835355697,2,316
57,2,356,3.0,835355628,2,322
58,2,357,3.0,835355749,2,323
59,2,364,3.0,835355604,2,329
60,2,367,3.0,835355619,2,332
61,2,370,2.0,835355932,2,335
62,2,371,3.0,835355968,2,336
63,2,372,3.0,835356094,2,337
64,2,377,3.0,835355710,2,342
65,2,382,3.0,835356165,2,347
66,2,405,2.0,835356246,2,358
67,2,410,3.0,835355532,2,362
68,2,454,4.0,835355604,2,404
69,2,457,3.0,835355511,2,407
70,2,468,4.0,835355790,2,417
71,2,474,2.0,835355828,2,423
72,2,480,4.0,835355643,2,428
73,2,485,3.0,835355918,2,433
74,2,497,3.0,835355880,2,445
75,2,500,4.0,835355731,2,448
76,2,508,4.0,835355860,2,455
77,2,509,4.0,835355719,2,456
78,2,515,4.0,835355817,2,462
79,2,527,4.0,835355731,2,473
80,2,537,4.0,835356199,2,482
81,2,539,3.0,835355767,2,484
82,2,550,3.0,835356109,2,494
83,2,551,5.0,835355767,2,495
84,2,552,3.0,835355860,2,496
85,2,585,5.0,835355817,2,519
86,2,586,3.0,835355790,2,520
87,2,587,3.0,835355779,2,521
88,2,588,3.0,835355441,2,522
89,2,589,5.0,835355697,2,523
90,2,590,5.0,835355395,2,524
91,2,592,5.0,835355395,2,525
92,2,593,3.0,835355511,2,526
93,2,616,3.0,835355932,2,544
94,2,661,4.0,835356141,2,568
95,2,720,4.0,835355978,2,608
96,3,60,3.0,1298861675,3,57
97,3,110,4.0,1298922049,3,101
